"CUST_ID","y_true","y_pred"
37,0,0
51,0,0
60,0,0
65,0,0
73,0,0
101,0,0
106,0,0
116,0,0
123,0,0
125,1,0
137,0,0
139,0,0
161,0,0
179,0,0
196,0,0
202,0,0
204,0,0
215,0,0
239,0,0
240,0,0
241,0,0
252,0,0
269,0,0
285,0,0
297,0,0
307,0,0
318,0,0
321,1,1
344,0,0
353,0,0
369,0,0
380,0,0
397,0,0
401,0,0
410,0,0
417,0,0
433,0,0
436,0,0
451,0,0
453,0,0
466,0,0
487,0,0
488,0,0
500,0,0
534,0,0
558,0,0
568,0,0
572,0,0
581,0,0
585,0,0
590,0,0
618,0,0
620,0,0
634,0,0
638,0,0
642,0,0
643,0,0
644,0,0
646,0,0
648,0,0
658,0,0
674,0,0
679,0,0
680,0,0
690,0,0
692,0,0
698,0,0
713,0,0
717,0,0
724,0,0
745,0,0
747,0,0
754,0,0
777,0,0
784,0,0
793,0,0
794,0,0
807,1,1
815,0,0
828,0,0
841,0,0
858,0,0
867,0,0
898,0,0
900,1,1
903,0,0
908,0,0
915,0,0
925,0,0
965,0,0
983,0,0
1012,0,0
1040,0,0
1041,0,0
1044,0,0
1067,0,0
1089,0,0
1104,0,0
1107,0,0
1112,1,0
1116,0,0
1127,0,0
1131,0,0
1143,0,1
1148,0,0
1163,0,0
1174,0,0
1201,0,0
1215,0,0
1220,0,0
1223,0,0
1256,0,0
1266,0,0
1268,0,0
1274,0,0
1292,0,0
1298,0,0
1322,0,0
1324,0,0
1328,0,0
1344,0,0
1365,0,0
1400,0,0
1409,0,0
1411,0,0
1414,0,0
1431,0,0
1463,0,0
1473,0,0
1494,0,0
1495,0,0
1508,0,0
1521,0,0
1523,0,0
1525,1,1
1526,0,0
1550,0,0
1554,0,0
1571,0,0
1574,0,0
1587,0,0
1602,0,0
1610,0,0
1617,0,0
1629,0,0
1649,1,1
1655,0,0
1657,0,0
1665,0,0
1666,0,0
1681,0,0
1683,0,0
1702,0,0
1722,0,0
1728,0,0
1732,0,0
1752,0,0
1759,0,0
1769,0,0
1812,0,0
1824,0,0
1838,0,0
1840,0,0
1854,0,0
1863,1,0
1864,0,0
1888,0,0
1895,0,0
1896,0,0
1912,0,0
1931,0,0
1938,0,0
1952,0,0
1967,0,0
1981,0,0
1991,0,0
2004,0,0
2007,0,0
2022,0,0
2027,1,1
2029,0,0
2038,0,0
2044,0,0
2055,0,0
2062,0,0
2063,0,0
2119,0,0
2126,0,0
2131,0,0
2138,0,0
2244,0,0
2245,0,0
2267,0,0
2269,0,0
2279,0,0
2283,0,0
2363,0,0
2371,0,0
2389,1,0
2401,0,0
2404,0,0
2407,0,0
2419,0,0
2438,0,0
2451,0,0
2452,0,0
2473,0,0
